restaurant_id,yelp_id,name,rating,review_count,quality_score,price,price_level,price_was_missing,phone,has_phone,categories,main_category,category_count,transactions,has_delivery,has_pickup,has_reservation,latitude,longitude,address,city,state,zip_code,country
1,K3ukx2e11xTRtYBU01dmrA,Salty Flame,4.3,262,4.3,$$,2,True,(305) 563-8972,True,"Asian Fusion, Steakhouses, Cocktail Bars",Asian Fusion,3,"delivery, pickup",True,True,False,25.76022,-80.19267,"1414 Brickell Ave, Miami, FL 33131",Miami,FL,33131,US
2,UXHxLN3DcDGI57uDIfCuJA,Old's Havana Cuban Bar & Cocina,4.4,3205,4.4,$$,2,False,(786) 518-2196,True,"Cuban, Bars, Venues & Event Spaces",Cuban,3,"pickup, restaurant_reservation",False,True,True,25.765607074496565,-80.21921771559332,"1442 SW 8th St, Miami, FL 33135",Miami,FL,33135,US
3,ix8ifP1jQM9ektdVAs19sQ,Crazy About You,4.2,2887,4.2,$$$,3,False,(305) 377-4442,True,"Mediterranean, Italian, Spanish",Mediterranean,3,delivery,True,False,False,25.762015277335745,-80.1889859201474,"1155 Brickell Bay Dr, Ste 101, Miami, FL 33131",Miami,FL,33131,US
4,ldcAFVFJ1J26n6QiaKPcbA,La Traila Barbecue,4.3,42,4.3,$$,2,True,(786) 655-0802,True,Barbeque,Barbeque,1,Sin dato,False,False,False,25.704948,-80.288191,"5840 SW 71st St, Miami, FL 33143",Miami,FL,33143,US
5,O4gh_gZPp1zW9QtC1aMHWw,House of Food Porn,4.8,178,4.62,$$,2,True,(305) 788-0137,True,"Sushi Bars, Asian Fusion, Wine Bars",Sushi Bars,3,Sin dato,False,False,False,25.8326319884545,-80.200107379434,"197 NW 62nd St, Miami, FL 33150",Miami,FL,33150,US
6,UcVXMO5tiz6wygxbqwr_BQ,The Mexican,4.9,9,4.35,$$,2,True,Sin dato,False,Mexican,Mexican,1,Sin dato,False,False,False,25.766492523532936,-80.18577380223114,"601 Brickell Key Dr, Ste 100, Miami, FL 33131",Miami,FL,33131,US
7,_tiVacKyfWZjOljFenLwVQ,Giselle Miami,4.6,502,4.55,$$,2,True,(305) 358-9848,True,"Mediterranean, Lounges, Asian Fusion",Mediterranean,3,Sin dato,False,False,False,25.78496366,-80.19341399,"15 NE 11th St, Miami, FL 33132",Miami,FL,33132,US
8,WqIBKxRUPXH3NqTViAHLxQ,Bayshore Club Bar & Grill,4.3,1044,4.3,$$$,3,False,(305) 209-1200,True,"Seafood, American, Wine Bars",Seafood,3,Sin dato,False,False,False,25.72877375829567,-80.2341624,"3391 Pan American Dr, Miami, FL 33133",Miami,FL,33133,US
9,eVhl0Yu1ZRWRD2D1OQGsYg,Capriccio,4.5,172,4.43,$$,2,True,(786) 936-5470,True,"Italian, Pizza, Steakhouses",Italian,3,restaurant_reservation,False,False,True,25.781633128697905,-80.28766177465242,"5600 Blue Lagoon Dr, Ste 9, Miami, FL 33126",Miami,FL,33126,US
10,qnCsyyEK01rRdrZgqqSfPA,TastiGo Kitchen,4.6,45,4.4,$,1,True,(305) 530-8315,True,"Chinese, Noodles",Chinese,2,Sin dato,False,False,False,25.740948283984565,-80.23815125226974,"2770 SW 27th Ave, Miami, FL 33133",Miami,FL,33133,US
11,wbxKj8E3ucAvky6DuoQZ8g,Chef Allen's Farm to Table,4.6,14,4.34,$$$,3,False,Sin dato,False,"Vegetarian, Food Stands",Vegetarian,2,Sin dato,False,False,False,25.7869967159839,-80.1891533285379,"263 NE 13th St, Miami, FL 33132",Miami,FL,33132,US
12,rf9zxndiD2k4hXwBAtQMrQ,KPOT Korean BBQ & Hot Pot,4.4,24,4.32,$$$$,4,True,(786) 636-8137,True,"Korean, Barbeque, Hot Pot",Korean,3,"delivery, pickup",True,True,False,25.77196,-80.32905,"8255 W Flagler St, Miami, FL 33144",Miami,FL,33144,US
13,hZm7TunlrksQbgS0ssXbUg,Versailles,4.0,7023,4.0,$$,2,False,(305) 444-0240,True,"Cuban, Coffee & Tea, Sandwiches",Cuban,3,"delivery, pickup",True,True,False,25.765389817507295,-80.25287416592283,"3555 SW 8th St, Miami, FL 33135",Miami,FL,33135,US
14,QQnw1bFxLyamuxn4giIy9g,Sufrat Mediterranean Grill,4.5,154,4.42,$$,2,False,(305) 798-7278,True,"Mediterranean, Greek, Lebanese",Mediterranean,3,"delivery, pickup",True,True,False,25.82001,-80.335628,"8455 NW 53rd St, Suite 106, Miami, FL 33166",Miami,FL,33166,US
15,4GKmQ1rynV5RUSiaHHenWQ,First Watch,4.0,515,4.05,$$,2,False,(786) 605-5050,True,"Breakfast & Brunch, Cafes, American",Breakfast & Brunch,3,Sin dato,False,False,False,25.77831,-80.29053,"5799 NW 7th St, Miami, FL 33125",Miami,FL,33125,US
16,oiFJpaLxJYO0WzSEhYWmJg,China Spot Miami,5.0,1,4.31,$,1,True,(786) 570-8743,True,Chinese,Chinese,1,Sin dato,False,False,False,25.79501109,-80.19422326,"1900 NE Miami Ct, Miami, FL 33132",Miami,FL,33132,US
17,scZfLg-ujWMEOUmFM_Qalg,Don Maguey Mexican Restaurant,4.7,309,4.6,$$,2,False,(786) 558-5650,True,Mexican,Mexican,1,pickup,False,True,False,25.7717682877048,-80.27253760250089,"4747 W Flagler St, Miami, FL 33134",Miami,FL,33134,US
18,nwY3CmIH75cN85cWBSaOAw,Apocalypse BBQ,4.4,1161,4.39,$$,2,False,Sin dato,False,"Food Trucks, Barbeque, Empanadas",Food Trucks,3,Sin dato,False,False,False,25.68797,-80.3936,"8695 SW 124th Ave, Miami, FL 33183",Miami,FL,33183,US
19,JnWk31PtaDGD3JfO9eyVkw,Impressions,4.6,12,4.34,$$,2,True,(305) 261-3800,True,Cafes,Cafes,1,Sin dato,False,False,False,25.7783409549632,-80.3094483911991,"711 NW 72nd Ave, Miami, FL 33126",Miami,FL,33126,US
20,H2MNMjMwpBjkBMCc-Qo8zg,Pierogi One,4.5,72,4.39,$$,2,False,(305) 333-9201,True,"Polish, Modern European",Polish,2,Sin dato,False,False,False,25.783782984924677,-80.18993477450881,"990 Biscayne Blvd, Miami, FL 33132",Miami,FL,33132,US
21,zUgXGynAq6_VptoNO50IhA,Sparrow Italia,4.4,198,4.37,$$$,3,False,(786) 322-5998,True,Italian,Italian,1,Sin dato,False,False,False,25.80089918437128,-80.20045189999999,"255 NW 25th St, Fl 1, Miami, FL 33127",Miami,FL,33127,US
22,LvBZDGRQMbZsddjnkMIGxg,Jass Kitchen,4.6,224,4.51,$$,2,True,(305) 603-8748,True,"Wine Bars, Turkish, Music Venues",Wine Bars,3,"delivery, pickup",True,True,False,25.81768,-80.1918,"190 NE 46th St, Miami, FL 33137",Miami,FL,33137,US
23,7SMed4wdXYwkaP287AKO7w,Cactus Club Cafe,4.4,80,4.35,$$,2,True,(754) 289-4981,True,"New American, Lounges, Cocktail Bars",New American,3,Sin dato,False,False,False,25.772287754385825,-80.18678452019599,"150-201 S Biscayne Blvd, Miami, FL 33131",Miami,FL,33131,US
24,akNp_x88QaQLoIJiuz36gw,Sauced ‘N Loadded,5.0,2,4.32,$$,2,True,(917) 217-7485,True,"American, Food Trucks",American,2,"delivery, pickup",True,True,False,25.7994082,-80.2536571,"3525 NW 25th St, Miami, FL 33142",Miami,FL,33142,US
25,SyVrRDKTGgVGNSNAbngxfw,Glass & Vine,4.1,1713,4.11,$$,2,False,(305) 200-5268,True,"New American, Breakfast & Brunch",New American,2,"delivery, pickup",True,True,False,25.72667400000003,-80.24114929999999,"2820 McFarlane Rd, Miami, FL 33133",Miami,FL,33133,US
26,1eto1cFYJ2dNZfIsa6BMZQ,To Be Determined,3.9,45,4.18,$$,2,True,Sin dato,False,Mexican,Mexican,1,Sin dato,False,False,False,25.74932,-80.24653,"2240 SW 32nd Ave, Miami, FL 33145",Miami,FL,33145,US
27,Kh3YwPBPkuykk-WTl-7vlQ,107 Taste,4.6,257,4.52,$$,2,False,(786) 409-6951,True,"Japanese, Asian Fusion, Noodles",Japanese,3,Sin dato,False,False,False,25.75302,-80.26201,"357 Alcazar Ave, Miami, FL 33134",Miami,FL,33134,US
28,rkfps2EBXywsxWwACpHVeQ,Gordon Ramsay Hell's Kitchen,4.0,635,4.04,$$$,3,False,(786) 688-0082,True,"New American, Steakhouses, Cocktail Bars",New American,3,"delivery, pickup",True,True,False,25.770932364168953,-80.18731559999999,"333 Biscayne Blvd Way, Miami, FL 33131",Miami,FL,33131,US
29,gmDna9f57vWTlSrdrEuVEg,Sanguich,4.5,1494,4.49,$$,2,False,(305) 539-0969,True,"Cuban, Sandwiches",Cuban,2,delivery,True,False,False,25.76578005893393,-80.2285558,"2057 SW 8th St, Miami, FL 33135",Miami,FL,33135,US
30,MfkZSdJ0w4-SOLJiEyHU5A,Kyu,4.4,2112,4.4,$$$,3,False,(786) 577-0150,True,Asian Fusion,Asian Fusion,1,"delivery, pickup",True,True,False,25.80089,-80.20017,"251 NW 25th St, Miami, FL 33127",Miami,FL,33127,US
31,Gv5X1-qLTGZbwoz829-Xxg,Corona Beach House,4.1,904,4.12,$$,2,False,(305) 869-1427,True,"American, Sports Bars, Salad",American,3,Sin dato,False,False,False,25.79127077869221,-80.27358559755169,"2100 NW 42nd Ave, South Terminal, Gate J-11, Fl 2, Miami, FL 33126",Miami,FL,33126,US
32,Blv0tBolGOlOINW6v1Sp-Q,Levant,4.5,154,4.42,$$,2,True,(786) 762-2905,True,"Middle Eastern, Mediterranean, Arabic",Middle Eastern,3,"delivery, pickup",True,True,False,25.749015,-80.25830500000001,"2415 Ponce De Leon, Miami, FL 33134",Miami,FL,33134,US
33,mKpixD_BK7TfcdS_gyFRtw,Tailwinds Restaurant & Bar,5.0,1,4.31,$$,2,True,(305) 446-9000,True,"Chicken Wings, American, Cocktail Bars",Chicken Wings,3,Sin dato,False,False,False,25.78135,-80.26493,"950 NW LeJeune Rd, Miami, FL 33126",Miami,FL,33126,US
34,z1UW-zeI50bMEtGKFtrjmA,Grails Miami - Restaurant & Sports Bar,4.4,777,4.39,$$,2,False,(786) 870-4313,True,"Sports Bars, New American, Lounges",Sports Bars,3,"delivery, pickup",True,True,False,25.803184,-80.195219,"2800 N Miami Ave, Miami, FL 33127",Miami,FL,33127,US
35,EVGPTVYEU65_tvMEBRPIYg,Good Chef Restaurant,4.7,772,4.65,$$,2,False,(786) 763-2008,True,"Asian Fusion, Bubble Tea, Ramen",Asian Fusion,3,"delivery, pickup",True,True,False,25.767682,-80.368058,"113 S W 107th Ave, Miami, FL 33174",Miami,FL,33174,US
