city,customer_preference,scenario,gap_threshold,wide_threshold,demand_coverage_index,preference_data_quality,restaurant_count,coverage_signal,stable_across_scenarios
Miami,Carnes,Conservador,1.5,0.6,0.69,Alta,49,Cobertura observada equilibrada,False
Miami,Carnes,Base,1.25,0.75,0.69,Alta,49,Oferta observada amplia,False
Miami,Carnes,Exploratorio,1.1,0.9,0.69,Alta,49,Oferta observada amplia,False
Miami,Mariscos,Conservador,1.5,0.6,1.13,Alta,38,Cobertura observada equilibrada,False
Miami,Mariscos,Base,1.25,0.75,1.13,Alta,38,Cobertura observada equilibrada,False
Miami,Mariscos,Exploratorio,1.1,0.9,1.13,Alta,38,Brecha de cobertura observada,False
Miami,Otro,Conservador,1.5,0.6,0.32,Media,84,Oferta observada amplia,True
Miami,Otro,Base,1.25,0.75,0.32,Media,84,Oferta observada amplia,True
Miami,Otro,Exploratorio,1.1,0.9,0.32,Media,84,Oferta observada amplia,True
Miami,Pescado,Conservador,1.5,0.6,0.87,Alta,19,Cobertura observada equilibrada,False
Miami,Pescado,Base,1.25,0.75,0.87,Alta,19,Cobertura observada equilibrada,False
Miami,Pescado,Exploratorio,1.1,0.9,0.87,Alta,19,Oferta observada amplia,False
Miami,Vegano,Conservador,1.5,0.6,1.16,Alta,23,Cobertura observada equilibrada,False
Miami,Vegano,Base,1.25,0.75,1.16,Alta,23,Cobertura observada equilibrada,False
Miami,Vegano,Exploratorio,1.1,0.9,1.16,Alta,23,Brecha de cobertura observada,False
Miami,Vegetariano,Conservador,1.5,0.6,1.32,Alta,30,Cobertura observada equilibrada,False
Miami,Vegetariano,Base,1.25,0.75,1.32,Alta,30,Brecha de cobertura observada,False
Miami,Vegetariano,Exploratorio,1.1,0.9,1.32,Alta,30,Brecha de cobertura observada,False
