city,customer_preference,price_level,price_segment,restaurant_count,restaurant_share_within_preference,imputed_price_count,imputed_price_share,avg_rating,median_review_count,avg_quality_score,delivery_share,reservation_share
Miami,Carnes,0,Sin precio,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Carnes,1,$,2,0.0408,0,0.0,4.5,382.0,4.48,0.0,0.0
Miami,Carnes,2,$$,31,0.6327,16,0.5161,4.26,128.0,4.27,0.4839,0.0323
Miami,Carnes,3,$$$,10,0.2041,2,0.2,4.22,450.0,4.26,0.5,0.1
Miami,Carnes,4,$$$$,6,0.1224,2,0.3333,4.32,352.0,4.3,0.1667,0.0
Miami,Mariscos,0,Sin precio,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Mariscos,1,$,1,0.0263,0,0.0,4.1,26.0,4.26,1.0,0.0
Miami,Mariscos,2,$$,26,0.6842,14,0.5385,4.23,154.0,4.26,0.5769,0.0385
Miami,Mariscos,3,$$$,8,0.2105,1,0.125,4.36,496.0,4.34,0.375,0.0
Miami,Mariscos,4,$$$$,3,0.0789,0,0.0,4.13,312.0,4.34,0.6667,0.0
Miami,Otro,0,Sin precio,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Otro,1,$,9,0.1071,2,0.2222,4.34,192.0,4.26,0.5556,0.0
Miami,Otro,2,$$,59,0.7024,21,0.3559,4.3,220.0,4.27,0.5424,0.0508
Miami,Otro,3,$$$,10,0.119,0,0.0,3.99,691.0,4.08,0.7,0.1
Miami,Otro,4,$$$$,6,0.0714,2,0.3333,4.27,332.0,4.26,0.1667,0.0
Miami,Pescado,0,Sin precio,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Pescado,1,$,1,0.0526,0,0.0,4.1,26.0,4.26,1.0,0.0
Miami,Pescado,2,$$,12,0.6316,4,0.3333,4.24,218.0,4.23,0.5833,0.0833
Miami,Pescado,3,$$$,4,0.2105,1,0.25,4.5,465.0,4.45,0.0,0.0
Miami,Pescado,4,$$$$,2,0.1053,0,0.0,4.4,374.0,4.38,0.5,0.0
Miami,Vegano,0,Sin precio,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Vegano,1,$,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Vegano,2,$$,17,0.7391,12,0.7059,4.31,85.0,4.3,0.4706,0.0588
Miami,Vegano,3,$$$,4,0.1739,0,0.0,4.28,496.0,4.22,0.5,0.0
Miami,Vegano,4,$$$$,2,0.087,1,0.5,3.85,48.0,4.23,0.5,0.0
Miami,Vegetariano,0,Sin precio,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Vegetariano,1,$,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Miami,Vegetariano,2,$$,24,0.8,13,0.5417,4.34,156.0,4.32,0.5833,0.0417
Miami,Vegetariano,3,$$$,5,0.1667,0,0.0,4.28,612.0,4.24,0.6,0.0
Miami,Vegetariano,4,$$$$,1,0.0333,0,0.0,3.6,8.0,4.25,1.0,0.0
