id,alias,name,image_url,is_closed,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
oxtMfBGmVNE18pFVuw7lFg,fratellino-coral-gables-2,Fratellino,https://s3-media0.fl.yelpcdn.com/bphoto/OPS9ibIzgVyzcJ3ZyNf9IQ/o.jpg,False,1907,"[{'alias': 'italian', 'title': 'Italian'}]",4.8,"{'latitude': 25.74917, 'longitude': -80.26011}","['delivery', 'pickup', 'restaurant_reservation']",$$$,"{'address1': '264 Miracle Mile', 'address2': '', 'address3': '', 'city': 'Coral Gables', 'zip_code': '33134', 'country': 'US', 'state': 'FL', 'display_address': ['264 Miracle Mile', 'Coral Gables, FL 33134']}",17864520068.0,(786) 452-0068,2834.064936518243
K3ukx2e11xTRtYBU01dmrA,salty-flame-miami,Salty Flame,https://s3-media0.fl.yelpcdn.com/bphoto/_6wShTvzfucB5dxFZv4Mpg/o.jpg,False,262,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.3,"{'latitude': 25.76022, 'longitude': -80.19267}","['delivery', 'pickup']",,"{'address1': '1414 Brickell Ave', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['1414 Brickell Ave', 'Miami, FL 33131']}",13055638972.0,(305) 563-8972,9568.050891007852
UXHxLN3DcDGI57uDIfCuJA,olds-havana-cuban-bar-and-cocina-miami,Old's Havana Cuban Bar & Cocina,https://s3-media0.fl.yelpcdn.com/bphoto/OyMD-xvBjobfDmDdBs2Jfw/o.jpg,False,3205,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.4,"{'latitude': 25.765607074496565, 'longitude': -80.21921771559332}","['pickup', 'restaurant_reservation']",$$,"{'address1': '1442 SW 8th St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33135', 'country': 'US', 'state': 'FL', 'display_address': ['1442 SW 8th St', 'Miami, FL 33135']}",17865182196.0,(786) 518-2196,7038.216305367002
ix8ifP1jQM9ektdVAs19sQ,crazy-about-you-miami-3,Crazy About You,https://s3-media0.fl.yelpcdn.com/bphoto/C8cICmnvi0GRzr4OIwg6vQ/o.jpg,False,2887,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.2,"{'latitude': 25.762015277335745, 'longitude': -80.1889859201474}",['delivery'],$$$,"{'address1': '1155 Brickell Bay Dr', 'address2': 'Ste 101', 'address3': '', 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['1155 Brickell Bay Dr', 'Ste 101', 'Miami, FL 33131']}",13053774442.0,(305) 377-4442,9973.468955482576
ldcAFVFJ1J26n6QiaKPcbA,la-traila-barbecue-miami-2,La Traila Barbecue ,https://s3-media0.fl.yelpcdn.com/bphoto/Su7aQW_bHLy9ytM4gjpppQ/o.jpg,False,42,"[{'alias': 'bbq', 'title': 'Barbeque'}]",4.3,"{'latitude': 25.704948, 'longitude': -80.288191}",[],,"{'address1': '5840 SW 71st St', 'address2': None, 'address3': None, 'city': 'Miami', 'zip_code': '33143', 'country': 'US', 'state': 'FL', 'display_address': ['5840 SW 71st St', 'Miami, FL 33143']}",17866550802.0,(786) 655-0802,5324.12202610397
O4gh_gZPp1zW9QtC1aMHWw,house-of-food-porn-miami-3,House of Food Porn,https://s3-media0.fl.yelpcdn.com/bphoto/YZJP20cFtRP73YEsp69aDA/o.jpg,False,178,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.8,"{'latitude': 25.8326319884545, 'longitude': -80.200107379434}",[],,"{'address1': '197 NW 62nd St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33150', 'country': 'US', 'state': 'FL', 'display_address': ['197 NW 62nd St', 'Miami, FL 33150']}",13057880137.0,(305) 788-0137,12507.730930037038
UcVXMO5tiz6wygxbqwr_BQ,the-mexican-miami,The Mexican,https://s3-media0.fl.yelpcdn.com/bphoto/s3OcaAgkZ9lmX2etO_9pKA/o.jpg,False,9,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.9,"{'latitude': 25.766492523532936, 'longitude': -80.18577380223114}",[],,"{'address1': '601 Brickell Key Dr', 'address2': 'Ste 100', 'address3': None, 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['601 Brickell Key Dr', 'Ste 100', 'Miami, FL 33131']}",,,10354.58290917775
_tiVacKyfWZjOljFenLwVQ,giselle-miami-miami,Giselle Miami,https://s3-media0.fl.yelpcdn.com/bphoto/tMrFekA5lavl0IHHuyVwHg/o.jpg,False,502,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.6,"{'latitude': 25.78496366, 'longitude': -80.19341399}",[],,"{'address1': '15 NE 11th St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['15 NE 11th St', 'Miami, FL 33132']}",13053589848.0,(305) 358-9848,10127.920790439312
WqIBKxRUPXH3NqTViAHLxQ,bayshore-club-bar-and-grill-miami,Bayshore Club Bar & Grill,https://s3-media0.fl.yelpcdn.com/bphoto/B7tTbJMlp7Dk6rpE4P3j5Q/o.jpg,False,1044,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.3,"{'latitude': 25.72877375829567, 'longitude': -80.2341624}",[],$$$,"{'address1': '3391 Pan American Dr', 'address2': None, 'address3': None, 'city': 'Miami', 'zip_code': '33133', 'country': 'US', 'state': 'FL', 'display_address': ['3391 Pan American Dr', 'Miami, FL 33133']}",13052091200.0,(305) 209-1200,6023.917796785677
eVhl0Yu1ZRWRD2D1OQGsYg,capriccio-miami-13,Capriccio,https://s3-media0.fl.yelpcdn.com/bphoto/XvLWJxAVk_KVc2Ucr5Lh9A/o.jpg,False,172,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,"{'latitude': 25.781633128697905, 'longitude': -80.28766177465242}",['restaurant_reservation'],,"{'address1': '5600 Blue Lagoon Dr', 'address2': 'Ste 9', 'address3': '', 'city': 'Miami', 'zip_code': '33126', 'country': 'US', 'state': 'FL', 'display_address': ['5600 Blue Lagoon Dr', 'Ste 9', 'Miami, FL 33126']}",17869365470.0,(786) 936-5470,3203.121202511091
qnCsyyEK01rRdrZgqqSfPA,tastigo-kitchen-miami-3,TastiGo Kitchen,https://s3-media0.fl.yelpcdn.com/bphoto/YqrjQGWXKv1HizUsoKxskQ/o.jpg,False,45,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.6,"{'latitude': 25.740948283984565, 'longitude': -80.23815125226974}",[],,"{'address1': '2770 SW 27th Ave', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33133', 'country': 'US', 'state': 'FL', 'display_address': ['2770 SW 27th Ave', 'Miami, FL 33133']}",13055308315.0,(305) 530-8315,5169.370063806012
